TaxonName	pS	Body_mass_g_variance	Brain_mass_g_variance
Colobus_angolensis	0.00174004	0.003937567031848634	0.00416551557810189
Dasypus_novemcinctus	0.0029352	0.31148544410204415	0.07518105351925401
Capromys_pilorides	0.00323016	0.17051976580140782	0.00242161313172397
Loxodonta_africana	0.00245532	0.044315960645517904	0.16520851393434824
Cercocebus_atys	0.00383624	0.001840621542825041	0.0006613027712696614
Gorilla_gorilla	0.00529792	0.020373444313016974	0.007869783902360948
Macaca_mulatta	0.00554396	0.16227019467530368	0.00923389583491996
Cebus_capucinus	0.00164428	0.29070134024176086	0.005694944512442813
Nycticebus_coucang	0.00211337	0.0863753331823366	0.007746553536061922
Erythrocebus_patas	0.00205865	0.0	0.007908969389529483
Pongo_abelii	0.0032076	0.09115492973480871	0.005352733121600964
Pygathrix_nemaeus	0.00167261	0.003476246354632443	0.0009749434462388537
Ateles_geoffroyi	0.00367714	0.4055046423076946	0.010866869283673752
Cebus_albifrons	0.00179481	0.035367256745977085	0.005857126453759911
Pan_troglodytes	0.00036651	0.024248231876798976	0.006250166431548205
Papio_anubis	0.00266748	0.39317460649205854	0.005419126268110352
Onychomys_torridus	0.00264422	0.022814086965198894	0.0015115059060496752
Pithecia_pithecia	0.00164099	0.22871905747357385	0.007374254928113891
Chlorocebus_sabaeus	0.00255982	0.04048265753371768	0.006705929542106957
Pteropus_vampyrus	0.00586718	0.0005796709538235672	0.014967815578405822
Saimiri_boliviensis	0.00131856	0.00022636384234227112	0.00045118029381723066
Nasalis_larvatus	0.00127063	0.03435219637185673	0.004177495987290279
Eulemur_fulvus	0.00668578	0.02489652224655867	0.00013915290245663942
Macaca_fascicularis	0.00434966	0.03642678166184475	0.00936166642817672
Ondatra_zibethicus	0.00180924	0.056606783008440756	0.0011342155252614208
Tursiops_truncatus	0.00124103	0.06413614904238582	0.003914723903412919
Cercopithecus_neglectus	0.00173266	0.0012050821506872078	0.0020325727506547153
Otolemur_garnettii	0.00185588	0.04551649659978823	0.0020576784292877064
